location,rep,block,plot,RIL,height
CLY,1,4,25,RIL-40,215
CLY,1,4,26,RIL-80,228
CLY,1,4,27,RIL-26,210
CLY,1,4,28,RIL-84,127
CLY,1,4,29,RIL-81,197
CLY,1,4,30,RIL-75,218
CLY,1,4,31,RIL-37,176
CLY,1,4,32,RIL-27,187
CLY,1,5,33,RIL-63,192
CLY,1,5,34,RIL-67,200
CLY,1,5,35,RIL-68,205
CLY,1,5,36,RIL-1,213
CLY,1,5,37,RIL-86,180
CLY,1,5,38,RIL-91,191
CLY,1,5,39,RIL-34,189
CLY,1,5,40,RIL-55,189
CLY,1,6,41,RIL-53,195
CLY,1,6,42,RIL-51,182
CLY,1,6,43,RIL-32,199
CLY,1,6,44,RIL-44,168
CLY,1,6,45,RIL-50,229
CLY,1,6,46,RIL-41,193
CLY,1,6,47,RIL-22,180
CLY,1,6,48,RIL-36,205
CLY,1,7,49,RIL-66,227
CLY,1,7,50,RIL-49,191
CLY,1,7,51,RIL-62,191
CLY,1,7,52,RIL-28,171
CLY,1,7,53,RIL-33,203
CLY,1,7,55,RIL-14,202
CLY,1,7,56,RIL-23,147
CLY,1,8,57,RIL-71,182
CLY,1,8,58,RIL-3,220
CLY,1,8,59,RIL-72,179
CLY,1,8,60,RIL-94,207
CLY,1,8,61,RIL-7,219
CLY,1,8,62,RIL-42,227
CLY,1,8,63,RIL-69,214
CLY,1,8,64,RIL-43,230
CLY,2,1,193,RIL-43,231
CLY,2,1,194,RIL-25,184
CLY,2,1,196,RIL-8,196
CLY,2,1,197,RIL-81,197
CLY,2,1,198,RIL-28,143
CLY,2,1,199,RIL-44,173
CLY,2,1,200,RIL-56,185
CLY,2,2,201,RIL-83,179
CLY,2,2,202,RIL-87,199
CLY,2,2,203,RIL-16,179
CLY,2,2,204,RIL-11,191
CLY,2,2,205,RIL-84,127
CLY,2,2,207,RIL-42,204
CLY,2,2,208,RIL-55,184
CLY,2,3,209,RIL-40,213
CLY,2,3,210,RIL-86,177
CLY,2,3,212,RIL-15,224
CLY,2,3,213,RIL-7,204
CLY,2,3,214,RIL-20,218
CLY,2,3,215,RIL-32,204
CLY,2,3,216,RIL-49,193
CLY,2,4,217,RIL-14,210
CLY,2,4,218,RIL-26,207
CLY,2,4,219,RIL-36,189
CLY,2,4,220,RIL-66,228
CLY,2,4,221,RIL-4,182
CLY,2,4,222,RIL-48,154
CLY,2,4,223,RIL-1,203
CLY,2,4,224,RIL-69,206
CLY,2,5,225,RIL-37,184
CLY,2,5,227,RIL-23,172
CLY,2,5,228,RIL-24,202
CLY,2,5,229,RIL-34,188
CLY,2,5,230,RIL-30,231
CLY,2,5,231,RIL-3,227
CLY,2,5,232,RIL-72,203
CLY,2,6,233,RIL-74,194
CLY,2,6,234,RIL-75,203
CLY,2,6,235,RIL-53,202
CLY,2,6,236,RIL-27,215
CLY,2,6,237,RIL-94,196
CLY,2,6,238,RIL-91,178
CLY,2,6,240,RIL-64,164
CLY,2,7,241,RIL-62,166
CLY,2,7,242,RIL-68,187
CLY,2,7,244,RIL-71,201
CLY,2,7,245,RIL-60,178
CLY,2,7,246,RIL-50,228
CLY,2,7,247,RIL-47,197
CLY,2,7,248,RIL-21,169
CLY,2,8,249,RIL-79,180
CLY,2,8,250,RIL-22,190
CLY,2,8,251,RIL-41,186
CLY,2,8,252,RIL-57,201
CLY,2,8,253,RIL-33,218
CLY,2,8,254,RIL-12,177
CLY,2,8,256,RIL-80,221
PPAC,1,1,1,RIL-14,171.6
PPAC,1,1,2,RIL-6,165.2
PPAC,1,1,3,RIL-60,168.8
PPAC,1,1,4,RIL-32,139.6
PPAC,1,1,5,RIL-15,152.4
PPAC,1,1,6,RIL-64,149.6
PPAC,1,1,7,RIL-33,169.6
PPAC,1,1,8,RIL-80,188.4
PPAC,1,2,9,RIL-84,122.4
PPAC,1,2,11,RIL-48,143.2
PPAC,1,2,12,RIL-24,150
PPAC,1,2,13,RIL-49,151.6
PPAC,1,2,14,RIL-21,142.8
