     site  yield          wt      variety 
 142    1 2.9830   1.8260525        VH302
 143    1 2.9220   1.8258457        VH314
 144    1 2.9040   1.8327273        VH782
 145    1 3.1710   1.8327235        VI184
 146    1 2.7700   1.8310999        VI193
 147    1 3.1860   1.7213822        VI341
 148    1 2.9540   1.8146655        VI375
 149    1 2.8010   1.8155855        VI727
 150    1 2.9120   1.8539843        VI729
 151    1 3.5410   1.7734429      WI94063
 152    1 3.1120   1.8351684      WI94091
 153    1 3.2710   1.8307212      WI94098
 154    1 2.9150   1.8532020      WI95060
 155    1 3.2300   1.8300708      WI95101
 156    1 2.9920   1.8152241      WI95109
 157    1 3.2100   1.8304333      WI95112
 158    1 2.6360   1.8537196       WW2338
 159    1 3.0240   1.8305442       WW2340
 160    1 3.1330   1.8258573       WW2341
 161    1 2.8040   1.8259323       WW2422
 162    1 2.7620   1.8480757       WW2423
 163    1 2.7190   1.8511131       WW2449
 164    1 2.9190   1.7209278       WW2450
 165    1 2.9040   1.8363272       WW2451
 166    1 3.2690   1.8309793       WW2453
 167    1 3.2380   1.8536151       WW2456
 168    1 2.9760   1.7210981       WW2457
 169    1 2.7400   1.8316694       WW2519
 170    1 3.0780   1.8306166       WW2520
 171    1 2.9120   1.7597271       WW2529
 172    2 0.7295  42.9622524 (WqKPWmH*3Ag
 173    2 0.6048   8.5540788   24IBWSN005
 174    2 0.8169   8.1228458   24IBWSN006
 175    2 0.7034   8.6437457   24IBWSN012
 176    2 0.5739   8.6444469   24IBWSN185
 177    2 0.6349   8.6445372   24IBWSN222
 178    2 0.6697   8.6446388   24IBWSN228
 179    2 0.6714   8.6447181   24IBWSN267
 180    2 0.7268   8.5637899   24IBWSN288
 181    2 0.5200   8.6334946   25IBWSN001
 182    2 0.7475   8.6449603   25IBWSN067
 183    2 0.7777   8.6337372   25IBWSN070
 184    2 0.5625   8.6444392   25IBWSN243
 185    2 0.6631   8.6336758      385W108
 186    2 0.6827   8.6424099       385W89
 187    2 0.9729   8.5384883      386W327
 188    2 0.8744   8.6184623      386W372
 189    2 0.8252   8.6321428      386W373
 190    2 0.7111   8.3496579      386W443
 191    2 0.8057   8.3605998      485WW38
 192    2 0.7794   7.5472535      486W124
 193    2 0.5981   8.5639608      486W175
 194    2 0.6847   8.6442990     486WW197
 195    2 0.5888   8.6442358      487W100
 196    2 0.8037   8.1249927       487W77
 197    2 0.5890   8.6449910     83Y:1308
 198    2 0.7101   8.1179942     84Y:1426
 199    2 0.8324   8.6177432     84Y:1430
 200    2 0.7986   8.6336780     85W:1487
 201    2 0.8608   8.6447166     85Z:1379
 202    2 0.6536   8.6202470     86Z:1484
 203    2 0.7335   8.6083345     86Z:1494
 204    2 0.6849  43.2011911      BARUNGA
 205    2 1.0340   8.6340362   CO3440-815
 206    2 0.6397   8.6340618   CO3603-103
 207    2 0.8366   8.6340974   CO3617-046
 208    2 0.7085   8.6316358   CO3644-207
 209    2 0.6933   8.6223691   CO3644-208
 210    2 0.8657   8.6218109   CO3644-222
 211    2 0.6215   8.6227133   CO3645-213
 212    2 0.6914   8.6164471   CO3938-011
 213    2 0.7586   8.6333555   CO3938-027
 214    2 0.7739   8.6208717   CO3958-001
 215    2 0.7662   8.6337100   CO4015-108
 216    2 0.7132   8.6326843   CO4025-221
 217    2 0.5762   8.6314128   CO4040-204
 218    2 0.8589   8.6439187   CO4101-321
 219    2 0.8678   8.6446017   CO4101-338
 220    2 0.8089   8.6426792   CO4102-317
 221    2 0.6966   8.5666376   CO4106-301
 222    2 0.6842   8.6439340   CO4108-310
 223    2 0.6520   8.6444976   CO4108-314
 224    2 0.7947   8.6444479   CO4109-311
 225    2 0.7081   8.6422092   CO4109-318
 226    2 0.6931   8.5631183   CO4110-303
 227    2 0.7296   8.6442263   CO4110-308
 228    2 0.7553   8.5654071   CO4110-309
 229    2 0.7818   8.5648004   CO4110-313
 230    2 0.7953   8.6417227   CO4110-314
 231    2 0.7866   8.6319532   CO4110-316
 232    2 0.6790   8.6437150   CO4110-321
 233    2 0.7057   8.6446775   CO4112-306
 234    2 0.7963   8.6432481   CO4113-314
 235    2 0.9182   8.6316848   CO4113-316
 236    2 0.7332   8.5652031   CO4113-332
 237    2 0.7282   8.6449271   CO4113-337
 238    2 0.9036   8.1262536   CO4114-313
 239    2 0.8961   8.6425226   CO4114-330
 240    2 0.7461   8.6449152   CO4114-347
 241    2 0.7177   8.6339801   CO4138-307
 242    2 0.7772   8.6334702   CO4138-316
 243    2 0.8990   8.5617129   CO4151-304
 244    2 0.8938   8.5639673   CO4151-306
 245    2 0.8266   8.1204628   CO4151-310
 246    2 0.8559   8.5597682   CO4151-330
 247    2 0.9300   8.6202724   CO4151-331
 248    2 0.9130   8.6290742   CO4151-339
 249    2 0.6636   8.6447420   CO4176-303
 250    2 0.6285   8.6311306   CO4177-304
