     site  yield          wt      variety 
 624    4 2.9180   2.1546908      WI95109
 625    4 3.1780   2.1548769      WI95112
 626    4 2.5830   2.1392436       WW2338
 627    4 3.0070   2.1536075       WW2340
 628    4 3.1520   2.1547769       WW2341
 629    4 2.4860   2.1548191       WW2422
 630    4 2.8600   2.1447694       WW2423
 631    4 2.9520   2.1546611       WW2449
 632    4 2.7410   2.1446587       WW2450
 633    4 2.8470   2.1392922       WW2451
 634    4 3.1270   2.1547368       WW2453
 635    4 2.8470   2.1445056       WW2456
 636    4 2.6770   2.1375085       WW2457
 637    4 2.7150   2.1390598       WW2519
 638    4 2.5220   1.9539923       WW2520
 639    4 2.6580   1.9548260       WW2529
 640    5 2.2770  36.6925318 (WqKPWmH*3Ag
 641    5 2.2770   9.5222468   24IBWSN005
 642    5 2.2840   9.5678994   24IBWSN006
 643    5 2.4280   9.4692047   24IBWSN012
 644    5 2.2270   9.3899762   24IBWSN185
 645    5 2.5130   9.5330968   24IBWSN222
 646    5 2.2750   8.6841682   24IBWSN228
 647    5 2.3200   9.4493512   24IBWSN267
 648    5 2.2370   8.8064143   24IBWSN288
 649    5 2.3330   9.6396944   25IBWSN001
 650    5 2.4640   9.6714537   25IBWSN067
 651    5 2.4660   9.6223993   25IBWSN070
 652    5 2.2750   9.6461289   25IBWSN243
 653    5 2.3100   9.6501573      385W108
 654    5 2.3010   9.6531082       385W89
 655    5 2.5440   9.5301744      386W327
 656    5 2.4630   9.2078142      386W372
 657    5 2.4480   9.6215734      386W373
 658    5 2.3010   9.6827800      386W443
 659    5 2.4260   9.6214455      485WW38
 660    5 2.3390   9.5291906      486W124
 661    5 1.6080   9.5307905      486W175
 662    5 1.8840   9.5307705     486WW197
 663    5 2.5020   9.6627918      487W100
 664    5 2.6450   8.7149361       487W77
 665    5 2.5150   9.5615774     83Y:1308
 666    5 1.7350   8.6557334     84Y:1426
 667    5 2.0120   9.4527756     84Y:1430
 668    5 2.5460   9.5236659     85W:1487
 669    5 2.2790   9.7447459     85Z:1379
 670    5 1.9930   9.4501412     86Z:1484
 671    5 1.6730   9.4463668     86Z:1494
 672    5 2.0430  38.4726019      BARUNGA
 673    5 2.2190   9.5254444   CO3440-815
 674    5 2.4050   9.5221854   CO3603-103
 675    5 2.3420   9.4605718   CO3617-046
 676    5 2.5720   8.6574817   CO3644-207
 677    5 2.3460   9.5661790   CO3644-208
 678    5 2.5660   9.5214318   CO3644-222
 679    5 2.4230   9.4327422   CO3645-213
 680    5 2.1410   9.4523266   CO3938-011
 681    5 2.3760   8.6152149   CO3938-027
 682    5 2.1810   9.5169676   CO3958-001
 683    5 2.4550   9.2077769   CO4015-108
 684    5 2.3670   9.4259544   CO4025-221
 685    5 2.3840   9.5614237   CO4040-204
 686    5 2.0480   9.6449496   CO4101-321
 687    5 2.6470   9.6691599   CO4101-338
 688    5 2.1270   9.6277352   CO4102-317
 689    5 2.2820   9.6500828   CO4106-301
 690    5 2.0670   9.5426321   CO4108-310
 691    5 2.0700   9.6399109   CO4108-314
 692    5 2.3700   9.5322430   CO4109-311
 693    5 2.1080   8.7962471   CO4109-318
 694    5 2.0910   9.6445177   CO4110-303
 695    5 2.0550   9.6622728   CO4110-308
 696    5 2.3460   9.6422098   CO4110-309
 697    5 2.1490   8.6535189   CO4110-313
 698    5 2.4010   8.6576342   CO4110-314
 699    5 2.2350   9.3980288   CO4110-316
 700    5 2.2640   9.6323386   CO4110-321
 701    5 2.2610   9.6489721   CO4112-306
 702    5 2.2580   9.6826714   CO4113-314
 703    5 2.1340   9.6344514   CO4113-316
 704    5 2.2670   8.7028341   CO4113-332
 705    5 2.2160   9.6327222   CO4113-337
 706    5 2.0530   9.5030223   CO4114-313
 707    5 2.1270   9.6410413   CO4114-330
 708    5 2.0240   9.5218043   CO4114-347
 709    5 2.2550   9.5494431   CO4138-307
 710    5 2.1880   9.6379711   CO4138-316
 711    5 1.8880   9.5150819   CO4151-304
 712    5 2.0720   9.4371123   CO4151-306
 713    5 2.0910   9.6706497   CO4151-310
 714    5 1.9730   9.6418210   CO4151-330
 715    5 1.8930   9.5310453   CO4151-331
 716    5 2.0810   9.6311179   CO4151-339
 717    5 2.1340   9.6600427   CO4176-303
 718    5 2.2630   9.5725651   CO4177-304
 719    5 2.5380   9.6544794   CO4177-305
 720    5 2.2930   9.5675249   CO4177-309
 721    5 2.0150   8.8257584     CORRIGIN
 722    5 2.1730   9.5623013 DT18883;DT36
 723    5 1.9440   8.6208780  DT68586-132
 724    5 2.3060   9.5143390  DT68726-106
 725    5 2.3900   8.5903522  DT82241-105
 726    5 2.4380   9.6260776 DT91898;SR13
 727    5 2.2970   9.5301431    EXCALIBUR
 728    5 2.4230   9.5662205      HALBERD
 729    5 2.4590   8.6488213   HW305-42-6
 730    5 2.2770   9.5153467   HW305-69-1
 731    5 2.3590  38.9384344         JANZ
 732    5 2.0800   9.6469702        K3032
 733    5 1.8050   9.6625813        K3037
 734    5 1.9920   9.6691964        K3045
 735    5 2.2300   9.7031424        K3057
 736    5 2.2720   9.7030725        K3058
 737    5 2.0240   9.5315510        K3059
 738    5 1.9640   8.8181472        M5428
 739    5 2.1750   9.6832420        M5429
 740    5 1.9160   9.6154770        M5484
 741    5 1.8350   9.5476641        M5487
 742    5 2.3060  60.3982677      MACHETE
 743    5 2.0900  36.8270651      MEERING
 744    5 2.3480   9.6396225   NR12-1-427
 745    5 2.4500   8.8023726   NR12-1-429
 746    5 2.3060   9.5362615   NR12-1-431
 747    5 2.2090   9.5308112   NR12-1-432
 748    5 2.2330   9.6540776   NR12-1-434
 749    5 2.2010   9.6552939   NR12-1-435
 750    5 2.3090   9.6470466   NR12-2-403
 751    5 2.2790   9.6826958   NR12-2-405
 752    5 2.4580   9.5482789   NR12-2-408
 753    5 2.4800   9.5564336   NR12-2-411
 754    5 2.2430   9.6358265   NR12-5-401
 755    5 2.1660   7.7075317   NR12-8-401
 756    5 2.3490   9.6519879   NR12-8-402
 757    5 2.3380   9.5666313   NR12-8-408
 758    5 2.3490   9.4570279   NR12-9-403
 759    5 2.1980   9.7351023   NR12-9-404
 760    5 2.3120   9.6269552   NR12-9-405
 761    5 2.6200   9.5671180       RAC696
 762    5 2.2200  38.5180572        SPEAR
 763    5 2.2890  38.3924667      TATIARA
 764    5 2.5270  36.6795735      TRIDENT
 765    5 2.6000   9.5267943        VF664
 766    5 1.8620   9.6442447        VH302
 767    5 2.3230   9.6829676        VH314
 768    5 2.0730   9.6680744        VH782
 769    5 2.3850   9.5733222        VI184
 770    5 2.2950   9.6441387        VI193
 771    5 2.0970   9.5238280        VI341
 772    5 2.1920   9.6528414        VI375
 773    5 1.8710   9.5217421        VI727
 774    5 2.1290   9.5275577        VI729
 775    5 2.6370   9.7422338      WI94063
 776    5 2.2430   9.5322372      WI94091
 777    5 2.1080   9.6775048      WI94098
 778    5 2.2860   9.6778538      WI95060
 779    5 2.4100   9.5189911      WI95101
 780    5 1.9890   9.6299449      WI95109
 781    5 2.3190   9.6553915      WI95112
 782    5 2.1140   8.7893902       WW2338
 783    5 2.0780   9.6816206       WW2340
 784    5 2.3170   9.6694579       WW2341
 785    5 2.2040   9.6828128       WW2422
 786    5 2.1220   9.5371321       WW2423
 787    5 2.2840   9.6772517       WW2449
 788    5 2.0720   9.5675588       WW2450
 789    5 2.1100   8.8267745       WW2451
 790    5 1.8930   9.6839125       WW2453
 791    5 2.1800   9.5129411       WW2456
 792    5 1.9400   9.6603422       WW2457
 793    5 2.0960   9.5703475       WW2519
 794    5 2.0370   8.8261049       WW2520
 795    5 2.2210   9.5833382       WW2529
 796    6 1.2590 112.8246376 (WqKPWmH*3Ag
 797    6 1.0890  22.3654871   24IBWSN005
 798    6 1.0820  21.8055001   24IBWSN006
 799    6 1.0520  22.4475450   24IBWSN012
 800    6 0.9707  23.0017702   24IBWSN185
 801    6 1.0940  22.9332700   24IBWSN222
 802    6 1.0900  22.9874393   24IBWSN228
 803    6 0.9562  22.9829371   24IBWSN267
 804    6 1.0230  22.7275632   24IBWSN288
 805    6 1.0310  22.5917996   25IBWSN001
 806    6 1.0390  22.9881533   25IBWSN067
 807    6 1.0910  22.5913039   25IBWSN070
 808    6 1.0960  23.0233695   25IBWSN243
 809    6 1.1230  22.6606111      385W108
 810    6 1.0300  23.0987826       385W89
 811    6 1.3230  22.0399251      386W327
 812    6 1.1710  22.5468860      386W372
 813    6 1.1210  22.9359955      386W373
 814    6 1.0770  19.9585735      386W443
 815    6 1.0470  20.3018274      485WW38
 816    6 1.2920  19.9588017      486W124
 817    6 0.9076  22.8139406      486W175
 818    6 1.1180  23.0588222     486WW197
 819    6 1.0700  23.0587154      487W100
 820    6 1.2520  21.8880779       487W77
 821    6 1.0920  22.9971520     83Y:1308
 822    6 1.0660  21.9466106     84Y:1426
 823    6 1.1410  22.5023717     84Y:1430
 824    6 1.2910  22.6606511     85W:1487
 825    6 1.1910  22.9325145     85Z:1379
 826    6 1.3120  22.2482978     86Z:1484
 827    6 1.2560  22.2088256     86Z:1494
 828    6 1.0590 114.4567373      BARUNGA
 829    6 1.1010  22.6599229   CO3440-815
 830    6 1.0570  22.6562371   CO3603-103
 831    6 1.1570  22.8927331   CO3617-046
 832    6 1.0910  22.6267233   CO3644-207
 833    6 1.0570  22.2600690   CO3644-208
 834    6 1.0890  22.5370534   CO3644-222
 835    6 1.2010  22.2595067   CO3645-213
 836    6 0.9474  22.7984878   CO3938-011
 837    6 1.0860  22.6665660   CO3938-027
 838    6 1.1170  22.5820195   CO3958-001
 839    6 1.1590  22.5933373   CO4015-108
 840    6 1.1460  22.1805289   CO4025-221
 841    6 0.8139  22.6396221   CO4040-204
 842    6 1.0350  22.9618372   CO4101-321
 843    6 1.1630  23.0436900   CO4101-338
 844    6 1.0020  23.1857277   CO4102-317
 845    6 1.0730  23.0419809   CO4106-301
 846    6 1.0950  23.2500713   CO4108-310
 847    6 0.8977  23.0240259   CO4108-314
 848    6 0.9221  23.0353322   CO4109-311
 849    6 0.9051  22.9579833   CO4109-318
 850    6 1.0860  22.8331552   CO4110-303
 851    6 1.0160  22.4487510   CO4110-308
 852    6 1.0770  22.7971992   CO4110-309
 853    6 1.1000  22.7945931   CO4110-313
 854    6 1.1070  23.0314096   CO4110-314
 855    6 0.9951  23.2076306   CO4110-316
 856    6 1.0320  22.9711615   CO4110-321
 857    6 1.1300  22.9760240   CO4112-306
 858    6 1.1450  23.0573283   CO4113-314
 859    6 1.0070  23.2024258   CO4113-316
 860    6 1.1370  22.8110449   CO4113-332
 861    6 1.0230  23.0404289   CO4113-337
 862    6 1.0550  21.9006394   CO4114-313
 863    6 1.0690  23.0691249   CO4114-330
 864    6 1.0290  22.9943285   CO4114-347
 865    6 0.9451  22.6444131   CO4138-307
 866    6 0.9685  22.7017518   CO4138-316
 867    6 1.2000  22.7272401   CO4151-304
 868    6 1.1310  22.7589109   CO4151-306
 869    6 1.0410  21.8368523   CO4151-310
 870    6 1.1120  22.7693359   CO4151-330
 871    6 1.1200  22.5825383   CO4151-331
 872    6 1.0650  23.1782443   CO4151-339
 873    6 0.9932  22.9789204   CO4176-303
 874    6 1.0080  22.9830963   CO4177-304
 875    6 0.9981  23.0671104   CO4177-305
 876    6 0.9087  23.0266429   CO4177-309
 877    6 1.3690  54.0262315     CORRIGIN
 878    6 1.0450  22.8281353 DT18883;DT36
 879    6 0.9538  22.6571816  DT68586-132
 880    6 1.0260  22.5951617  DT68726-106
 881    6 0.9579  22.5825468  DT82241-105
 882    6 1.0830  22.6544649 DT91898;SR13
 883    6 1.2850  21.8112129    EXCALIBUR
 884    6 0.9622  21.7695153      HALBERD
 885    6 1.0240  22.9975887   HW305-42-6
 886    6 1.1650  22.0704865   HW305-69-1
 887    6 1.0280 112.7358588         JANZ
 888    6 0.9205  21.9656692        K3032
 889    6 0.8043  20.9769951        K3037
 890    6 0.8856  22.9928969        K3045
 891    6 1.1180  23.2450233        K3057
 892    6 1.0460  21.5617108        K3058
 893    6 1.0330  22.7548589        K3059
 894    6 0.7930  23.2023356        M5428
 895    6 0.8686  22.6083597        M5429
 896    6 0.8503  23.2062796        M5484
 897    6 0.7637  23.0502989        M5487
 898    6 1.0600 113.4471892      MACHETE
 899    6 1.0190 114.1089405      MEERING
 900    6 1.3120  22.6908621   NR12-1-427
 901    6 1.1570  22.6579531   NR12-1-429
 902    6 1.0900  23.0698709   NR12-1-431
 903    6 1.2700  21.5931849   NR12-1-432
 904    6 1.1320  21.9351335   NR12-1-434
 905    6 1.1700  22.6532654   NR12-1-435
 906    6 0.9697  22.7089578   NR12-2-403
 907    6 1.0880  22.8270931   NR12-2-405
 908    6 1.2340  23.0662758   NR12-2-408
 909    6 1.1850  23.0884839   NR12-2-411
 910    6 1.0420  23.3009181   NR12-5-401
 911    6 1.0040  22.9948498   NR12-8-401
 912    6 1.0500  21.4894729   NR12-8-402
 913    6 1.1360  22.5810922   NR12-8-408
 914    6 1.1130  23.0749542   NR12-9-403
 915    6 1.0250  22.6486017   NR12-9-404
 916    6 1.0650  22.6446014   NR12-9-405
 917    6 1.0670  22.6061132       RAC696
 918    6 1.1190 113.1261683        SPEAR
 919    6 1.0400 104.2422390      TATIARA
 920    6 1.1050 107.5580885      TRIDENT
 921    6 1.2390  22.6554504        VF664
 922    6 0.8146  22.8084950        VH302
 923    6 0.9531  22.9798507        VH314
 924    6 0.9507  22.4570396        VH782
 925    6 1.0660  22.5940053        VI184
 926    6 1.0370  23.0211587        VI193
 927    6 1.0000  23.2456261        VI341
 928    6 1.0740  22.9883396        VI375
 929    6 0.8328  22.5534416        VI727
 930    6 0.7496  23.0566735        VI729
 931    6 1.0990  22.5268899      WI94063
 932    6 0.7772  22.4732032      WI94091
 933    6 0.9857  22.5910063      WI94098
 934    6 1.0220  23.0186339      WI95060
 935    6 1.0730  22.7617763      WI95101
 936    6 0.9687  22.9776978      WI95109
 937    6 0.8905  21.8364852      WI95112
 938    6 0.9545  23.0794211       WW2338
 939    6 1.0230  22.9907102       WW2340
 940    6 1.0550  23.0821650       WW2341
 941    6 0.9297  23.2117215       WW2422
 942    6 0.8760  23.0582970       WW2423
 943    6 0.9323  23.3073415       WW2449
 944    6 0.9739  22.7587356       WW2450
 945    6 0.9701  23.2849680       WW2451
 946    6 0.9489  21.4597308       WW2453
 947    6 1.0780  23.2659258       WW2456
 948    6 1.0460  23.0313880       WW2457
 949    6 0.9783  23.0905770       WW2519
 950    6 1.0010  23.2116269       WW2520
 951    6 1.0240  23.0413810       WW2529
 952    7 1.9740  27.1907426 (WqKPWmH*3Ag
 953    7 1.8510   6.9048076   24IBWSN005
 954    7 1.7090   6.9058419   24IBWSN006
 955    7 1.7910   6.4778398   24IBWSN012
 956    7 1.6420   6.8746399   24IBWSN185
 957    7 1.8630   6.8359147   24IBWSN222
 958    7 1.6430   6.4660319   24IBWSN228
 959    7 1.6120   6.0722832   24IBWSN267
 960    7 1.6990   6.8561111   24IBWSN288
 961    7 1.7530   6.9093580   25IBWSN001
 962    7 1.7510   6.9254670   25IBWSN067
 963    7 1.8920   6.9259959   25IBWSN070
 964    7 2.0050   6.9262158   25IBWSN243
 965    7 1.9220   6.9264587      385W108
 966    7 1.9000   6.9268698       385W89
 967    7 1.9870   6.9061719      386W327
 968    7 1.7380   6.8458002      386W372
 969    7 1.8140   6.8541511      386W373
 970    7 1.7550   6.9269767      386W443
 971    7 1.7390   6.9118916      485WW38
 972    7 1.9480   6.9065541      486W124
 973    7 1.4120   6.9064439      486W175
 974    7 1.8380   6.9062798     486WW197
 975    7 1.6170   6.9125849      487W100
 976    7 1.9420   6.4499553       487W77
 977    7 2.0480   6.9139064     83Y:1308
 978    7 1.7950   4.6194710     84Y:1426
 979    7 1.8340   6.8747185     84Y:1430
 980    7 2.0330   6.9083752     85W:1487
 981    7 2.0170   6.9241508     85Z:1379
 982    7 2.0070   6.8736580     86Z:1484
 983    7 1.7030   6.9063634     86Z:1494
 984    7 1.8060  27.2988937      BARUNGA
 985    7 1.7050   6.9059457   CO3440-815
 986    7 1.5490   6.9059124   CO3603-103
 987    7 1.7610   6.8852343   CO3617-046
 988    7 1.8250   6.8363425   CO3644-207
 989    7 1.9900   6.9064065   CO3644-208
 990    7 1.9430   6.9064329   CO3644-222
 991    7 1.9990   6.4794396   CO3645-213
 992    7 1.5810   6.8862702   CO3938-011
 993    7 1.7780   6.4091670   CO3938-027
 994    7 1.6700   6.8936736   CO3958-001
 995    7 1.8060   6.8458004   CO4015-108
 996    7 1.8370   6.8937844   CO4025-221
 997    7 1.6730   6.9060949   CO4040-204
 998    7 1.9710   6.9264289   CO4101-321
 999    7 2.0000   6.8557483   CO4101-338
1000    7 1.7620   6.9137750   CO4102-317
1001    7 1.9050   6.9264237   CO4106-301
1002    7 1.9740   6.4970624   CO4108-310
1003    7 1.6510   6.9260978   CO4108-314
1004    7 1.8010   6.9061266   CO4109-311
1005    7 1.7130   6.8561883   CO4109-318
1006    7 1.5790   6.9259959   CO4110-303
1007    7 1.5820   6.9133565   CO4110-308
1008    7 1.7120   6.8551683   CO4110-309
1009    7 1.4800   6.4779800   CO4110-313
1010    7 1.8850   6.8363581   CO4110-314
1011    7 1.7380   6.8411241   CO4110-316
1012    7 1.6410   6.9240403   CO4110-321
1013    7 1.7680   6.9260352   CO4112-306
1014    7 1.9300   6.9271385   CO4113-314
1015    7 1.7630   6.9264479   CO4113-316
1016    7 1.9640   6.7659657   CO4113-332
1017    7 1.5970   6.9243713   CO4113-337
1018    7 1.5250   6.8356121   CO4114-313
1019    7 1.7600   6.9259403   CO4114-330
1020    7 1.8250   6.9059514   CO4114-347
1021    7 1.5940   6.9139016   CO4138-307
1022    7 1.5590   6.9269285   CO4138-316
1023    7 1.6960   6.9061361   CO4151-304
1024    7 1.6460   6.8354871   CO4151-306
1025    7 1.7200   6.9264056   CO4151-310
1026    7 1.6120   6.9261079   CO4151-330
1027    7 1.6930   6.8942081   CO4151-331
1028    7 1.5330   6.9241205   CO4151-339
1029    7 1.5280   6.9277781   CO4176-303
1030    7 1.6030   6.9085979   CO4177-304
1031    7 1.6200   6.9269663   CO4177-305
1032    7 1.6660   6.9063594   CO4177-309
1033    7 1.9790   6.4992949     CORRIGIN
1034    7 1.7460   6.9037089 DT18883;DT36
1035    7 1.6580   6.4801293  DT68586-132
1036    7 1.8020   6.9062694  DT68726-106
1037    7 1.9870   4.5272197  DT82241-105
1038    7 1.8100   6.9211765 DT91898;SR13
1039    7 1.8680   6.9061311    EXCALIBUR
1040    7 1.6280   6.9064677      HALBERD
1041    7 1.8240   6.4792811   HW305-42-6
1042    7 1.8780   6.9037478   HW305-69-1
1043    7 1.7350  27.3859784         JANZ
1044    7 1.6680   6.9267466        K3032
1045    7 1.5840   6.9390932        K3037
1046    7 1.4590   6.9115896        K3045
1047    7 1.6600   6.9272363        K3057
1048    7 1.7780   6.9302977        K3058
1049    7 1.5720   6.9073647        K3059
1050    7 1.4550   6.8562481        M5428
1051    7 1.4570   6.9268609        M5429
1052    7 1.4130   6.9240789        M5484
1053    7 1.4100   6.9190387        M5487
1054    7 1.5730  27.6201569      MACHETE
1055    7 1.8210  27.1442886      MEERING
1056    7 1.7830   6.9245448   NR12-1-427
1057    7 1.7030   6.4995209   NR12-1-429
1058    7 1.6680   6.8934962   NR12-1-431
1059    7 1.6590   6.9062807   NR12-1-432
1060    7 1.7180   6.4857166   NR12-1-434
1061    7 1.5380   6.9269475   NR12-1-435
1062    7 1.7820   6.9259458   NR12-2-403
1063    7 1.8770   6.9268972   NR12-2-405
1064    7 2.0180   6.4993021   NR12-2-408
1065    7 1.8010   6.9042364   NR12-2-411
1066    7 1.7720   6.9269719   NR12-5-401
1067    7 1.7260   6.1275365   NR12-8-401
1068    7 1.6030   6.9268334   NR12-8-402
1069    7 1.7350   6.9057888   NR12-8-408
1070    7 1.9830   6.4637868   NR12-9-403
1071    7 1.8490   6.9290162   NR12-9-404
1072    7 1.6990   6.8562744   NR12-9-405
1073    7 1.9780   6.9058949       RAC696
1074    7 1.7720  27.7162063        SPEAR
1075    7 1.8030  27.6823260      TATIARA
1076    7 1.8440  26.5123821      TRIDENT
1077    7 1.9880   6.8935221        VF664
1078    7 1.4380   6.9301088        VH302
1079    7 1.8590   6.9268730        VH314
1080    7 1.6350   6.9245099        VH782
1081    7 1.8170   6.9269585        VI184
1082    7 1.6540   6.9264748        VI193
1083    7 1.8530   6.9060108        VI341
1084    7 1.7220   6.9269525        VI375
1085    7 1.4840   6.9043178        VI727
1086    7 1.2600   6.9040754        VI729
1087    7 1.9050   6.9411978      WI94063
1088    7 1.4570   6.9061785      WI94091
1089    7 1.7560   6.9281699      WI94098
1090    7 1.5840   6.9264701      WI95060
1091    7 1.7380   6.9056814      WI95101
1092    7 1.8320   6.9264609      WI95109
1093    7 1.7870   6.9273843      WI95112
1094    7 1.6890   6.8566369       WW2338
1095    7 1.6900   6.9143259       WW2340
1096    7 1.8330   6.9249990       WW2341
1097    7 1.6900   6.9269235       WW2422
1098    7 1.6440   6.9065623       WW2423
1099    7 1.8350   6.9265307       WW2449
1100    7 1.8120   6.9063634       WW2450
1101    7 1.7780   6.8566088       WW2451
1102    7 1.7420   6.9267638       WW2453
1103    7 1.7710   6.9041108       WW2456
1104    7 1.7050   6.8272955       WW2457
1105    7 1.6000   6.8565379       WW2519
1106    7 1.6130   6.4986673       WW2520
1107    7 1.7000   6.4996854       WW2529
1108    8 2.1930  44.0275402 (WqKPWmH*3Ag
1109    8 1.8650  11.3263076   24IBWSN005
1110    8 1.9540  11.1822064   24IBWSN006
1111    8 1.9340  10.3914605   24IBWSN012
1112    8 1.8960  11.0834484   24IBWSN185
1113    8 2.0240  11.1354735   24IBWSN222
1114    8 1.8070  10.3808618   24IBWSN228
1115    8 1.5540   9.4832840   24IBWSN267
1116    8 1.8900  11.2270099   24IBWSN288
1117    8 1.8160  11.2647671   25IBWSN001
1118    8 1.7950  11.2657863   25IBWSN067
1119    8 1.9060  11.2670320   25IBWSN070
1120    8 1.8340  11.2717602   25IBWSN243
1121    8 2.0830  11.2717124      385W108
1122    8 2.0180  11.4131196       385W89
1123    8 2.2070  11.3279429      386W327
1124    8 2.0360  10.8214362      386W372
1125    8 1.9110  11.2376253      386W373
1126    8 1.8480  11.2766448      386W443
1127    8 1.9620  11.2730432      485WW38
1128    8 2.0500  11.3160986      486W124
1129    8 1.5300  11.1796174      486W175
1130    8 1.8230  11.1799008     486WW197
1131    8 1.7610  11.2675739      487W100
1132    8 2.0760  10.5262197       487W77
1133    8 2.0190  11.2671626     83Y:1308
1134    8 1.9410  10.3931915     84Y:1426
1135    8 2.0170  11.0805445     84Y:1430
1136    8 2.1220  11.1858476     85W:1487
1137    8 2.0670  11.5930863     85Z:1379
1138    8 2.0480  11.0823786     86Z:1484
1139    8 1.7560  11.1781119     86Z:1494
1140    8 1.8720  44.3204725      BARUNGA
1141    8 2.0860  11.3231159   CO3440-815
1142    8 1.7540  11.1777691   CO3603-103
1143    8 2.0850  11.2392508   CO3617-046
1144    8 1.8510  10.8186639   CO3644-207
1145    8 1.8840  11.3307795   CO3644-208
1146    8 1.9370  11.1811679   CO3644-222
1147    8 2.0480  10.3885720   CO3645-213
1148    8 1.8190  11.1069101   CO3938-011
1149    8 1.8760  10.4756799   CO3938-027
1150    8 1.9520  11.1745978   CO3958-001
1151    8 2.1080  10.8207924   CO4015-108
1152    8 1.9500  11.1786454   CO4025-221
1153    8 1.8880  11.1854108   CO4040-204
1154    8 1.6580  11.2724658   CO4101-321
1155    8 2.0490  11.2169998   CO4101-338
1156    8 1.7050  11.2640814   CO4102-317
1157    8 1.8960  11.2669175   CO4106-301
1158    8 1.7930  10.4723493   CO4108-310
1159    8 1.8730  11.2684908   CO4108-314
1160    8 1.8510  11.1784266   CO4109-311
1161    8 1.8030  11.2278566   CO4109-318
1162    8 1.8980  11.2726905   CO4110-303
1163    8 1.9320  11.2769848   CO4110-308
1164    8 1.9060  11.2152197   CO4110-309
1165    8 1.7730  10.3882763   CO4110-313
1166    8 1.9700  11.1369958   CO4110-314
1167    8 1.9560  10.9040515   CO4110-316
1168    8 1.8700  10.9928728   CO4110-321
1169    8 1.9640  11.2681608   CO4112-306
1170    8 1.9760  11.2859641   CO4113-314
1171    8 1.7960  11.2764011   CO4113-316
1172    8 2.0090  11.0960688   CO4113-332
1173    8 1.7510  10.9825887   CO4113-337
1174    8 1.8970  11.1307677   CO4114-313
1175    8 2.0490  11.4054423   CO4114-330
1176    8 1.7760  11.1749342   CO4114-347
1177    8 1.8100  11.2690592   CO4138-307
1178    8 1.7780  11.2750588   CO4138-316
1179    8 1.7660  11.1919621   CO4151-304
1180    8 1.7850  11.1734460   CO4151-306
1181    8 1.9080  11.2641174   CO4151-310
1182    8 1.7810  10.9885861   CO4151-330
1183    8 1.9150  11.1694255   CO4151-331
1184    8 1.7670  11.2756774   CO4151-339
1185    8 1.8430  11.4134795   CO4176-303
1186    8 1.7300  11.1914593   CO4177-304
1187    8 1.7900  11.4131711   CO4177-305
1188    8 1.7330  11.1812596   CO4177-309
1189    8 2.0900  10.6310105     CORRIGIN
1190    8 1.8870  11.3307070 DT18883;DT36
1191    8 1.7800  10.3813604  DT68586-132
1192    8 1.8360  11.1811909  DT68726-106
1193    8 1.9090  11.0029026  DT82241-105
1194    8 1.9400  11.1883536 DT91898;SR13
1195    8 2.1480  11.1784678    EXCALIBUR
1196    8 1.8400  11.1795446      HALBERD
1197    8 1.8200  10.0627308   HW305-42-6
1198    8 1.8980  11.1779902   HW305-69-1
1199    8 1.8990  44.2463341         JANZ
1200    8 1.7420  11.2730169        K3032
1201    8 1.5880  11.4470939        K3037
1202    8 1.7600  11.4112220        K3045
1203    8 1.9800  10.9852272        K3057
1204    8 1.8310  11.2863526        K3058
1205    8 1.7980  11.1860879        K3059
1206    8 1.5020  11.2297440        M5428
1207    8 1.7450  11.2746034        M5429
1208    8 1.6570  11.2707813        M5484
1209    8 1.6200  11.1988899        M5487
1210    8 1.7950  45.0851194      MACHETE
1211    8 1.9840  43.7885878      MEERING
1212    8 1.9380  11.2802001   NR12-1-427
1213    8 1.9190  10.4734689   NR12-1-429
1214    8 1.7920  11.1730310   NR12-1-431
1215    8 1.7880  11.1825477   NR12-1-432
1216    8 1.9040  11.1808420   NR12-1-434
1217    8 1.9640  11.2767223   NR12-1-435
1218    8 1.7890  11.2728152   NR12-2-403
1219    8 1.8980  11.2755372   NR12-2-405
1220    8 1.7150  10.4805838   NR12-2-408
1221    8 1.9410  11.1819054   NR12-2-411
1222    8 1.8740  11.2741991   NR12-5-401
1223    8 1.7690   9.3270583   NR12-8-401
1224    8 1.7790  11.2770821   NR12-8-402
1225    8 1.8320  11.1801569   NR12-8-408
1226    8 1.9210  10.3981884   NR12-9-403
1227    8 1.7680  11.2792489   NR12-9-404
1228    8 1.6370  11.2311864   NR12-9-405
1229    8 1.9960  11.1798787       RAC696
1230    8 1.9510  45.0658930        SPEAR
1231    8 1.9200  44.5547264      TATIARA
1232    8 2.0010  42.7362476      TRIDENT
1233    8 2.1700  11.1743388        VF664
1234    8 1.6010  11.4127503        VH302
1235    8 1.8220  11.2798875        VH314
1236    8 1.5750  11.2765317        VH782
1237    8 1.8980  11.2767444        VI184
1238    8 1.9290  11.2717048        VI193
1239    8 1.8830  10.8619460        VI341
1240    8 1.9390  11.2747927        VI375
1241    8 1.6010  10.9008775        VI727
1242    8 1.3040  11.1769747        VI729
1243    8 2.1900  11.2783214      WI94063
1244    8 1.6270  11.3290051      WI94091
1245    8 2.0040  11.2774609      WI94098
1246    8 2.0070  11.2717759      WI95060
1247    8 1.8400  11.1782654      WI95101
1248    8 1.7970  11.2724667      WI95109
1249    8 1.6510  11.4111408      WI95112
